freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_EUR,S13,GF0104,TE,SE	6864.6 	6872.5 	7125.4 	7214.0 	7158.8 	7135.1 	7715.4 
A,MIO_EUR,S13,GF0104,TE,SI	182.4 	194.6 	183.8 	198.5 	229.3 	237.8 	252.8 
A,MIO_EUR,S13,GF0104,TE,SK	803.4 	345.8 	322.3 	339.0 	336.6 	391.1 	415.6 
A,MIO_EUR,S13,GF0105,TE,AT	6.2 	7.7 	6.9 	6.6 	7.2 	4.2 	4.3 
A,MIO_EUR,S13,GF0105,TE,BE	138.3 	102.4 	42.3 	42.8 	55.2 	46.3 	48.4 
A,MIO_EUR,S13,GF0105,TE,BG	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,S13,GF0105,TE,CH	13.5 	11.6 	11.3 	11.1 	8.8 	9.6 	9.5 
A,MIO_EUR,S13,GF0105,TE,CY	6.2 	6.4 	6.2 	6.0 	6.8 	5.8 	6.4 
A,MIO_EUR,S13,GF0105,TE,CZ	91.4 	63.1 	78.5 	133.8 	93.5 	90.5 	95.4 
A,MIO_EUR,S13,GF0105,TE,DE	331.0 	381.0 	411.0 	417.0 	438.0 p	462.0 p	503.0 p
A,MIO_EUR,S13,GF0105,TE,DK	85.4 	73.6 	55.4 	44.8 	46.5 	45.5 	48.0 
A,MIO_EUR,S13,GF0105,TE,EA19	1955.1 	1841.3 	1759.0 	1842.6 	1916.3 	1984.8 	2085.1 
A,MIO_EUR,S13,GF0105,TE,EA20	1983.0 	1869.7 	1784.6 	1911.9 	1995.7 	2068.0 	2198.2 
A,MIO_EUR,S13,GF0105,TE,EE	5.1 	6.0 	8.2 	7.1 	5.1 	7.6 	7.7 
A,MIO_EUR,S13,GF0105,TE,EL	762.0 	629.0 	631.0 	674.0 	707.0 	726.0 	739.0 
A,MIO_EUR,S13,GF0105,TE,ES	282.0 	328.0 	274.0 	330.0 	298.0 	325.0 	345.0 p
A,MIO_EUR,S13,GF0105,TE,EU27_2020	2667.9 	2561.9 	2373.4 	2573.7 	2596.1 	2572.4 	2786.4 
A,MIO_EUR,S13,GF0105,TE,FI	49.0 b	45.0 	57.0 	54.0 	66.0 	82.0 	93.0 
A,MIO_EUR,S13,GF0105,TE,FR	0.0 	1.0 	1.0 	1.0 	1.0 	1.0 p	1.0 p
A,MIO_EUR,S13,GF0105,TE,HR	27.9 	28.4 	25.5 	69.2 	79.4 	83.3 	113.1 
A,MIO_EUR,S13,GF0105,TE,HU	33.8 	21.3 	23.5 	29.6 	28.1 	19.8 	18.1 
A,MIO_EUR,S13,GF0105,TE,IE	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.1 
A,MIO_EUR,S13,GF0105,TE,IS	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0105,TE,IT	248.0 	229.0 	231.0 	228.0 	248.0 	235.0 	235.0 
A,MIO_EUR,S13,GF0105,TE,LT	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,S13,GF0105,TE,LU	1.2 	1.3 	1.0 	0.8 	0.5 	0.5 	0.6 
A,MIO_EUR,S13,GF0105,TE,LV	2.7 	3.2 	5.5 	5.6 	4.5 	4.7 	5.1 
A,MIO_EUR,S13,GF0105,TE,MT	0.7 	0.8 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,S13,GF0105,TE,NL	38.0 	31.0 	29.0 	27.0 	40.0 	40.0 	40.0 
A,MIO_EUR,S13,GF0105,TE,NO	328.4 	323.4 	368.6 	376.9 	398.1 	373.4 	422.3 
A,MIO_EUR,S13,GF0105,TE,PL	11.7 	8.9 	7.6 	7.5 	10.6 	9.4 	9.7 
A,MIO_EUR,S13,GF0105,TE,PT	56.0 	47.4 	43.8 	34.3 	30.7 	34.0 	34.7 p
A,MIO_EUR,S13,GF0105,TE,RO	459.6 	522.8 	421.1 	443.7 	419.0 	336.7 	414.1 
A,MIO_EUR,S13,GF0105,TE,SE	3.1 	2.5 	2.8 	2.3 	2.5 	2.6 	3.0 
A,MIO_EUR,S13,GF0105,TE,SI	3.2 	4.9 	4.0 	3.7 	6.3 	4.0 	5.4 
A,MIO_EUR,S13,GF0105,TE,SK	25.3 	17.2 	7.1 	4.6 	1.9 	6.6 	16.4 
A,MIO_EUR,S13,GF0106,TE,AT	147.4 	145.1 	131.0 	119.4 	162.4 	155.2 	157.7 
